smiles
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=90],CC(C)C(OCC)=O[<].[+rn=10]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=10],CC(C)C(OCCCC)=O[<].[+rn=90]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=20],CC(C)C(OCCCC)=O[<].[+rn=80]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=30],CC(C)C(OCCCC)=O[<].[+rn=70]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=40],CC(C)C(OCCCC)=O[<].[+rn=60]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=50],CC(C)C(OCCCC)=O[<].[+rn=50]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=60],CC(C)C(OCCCC)=O[<].[+rn=40]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=70],CC(C)C(OCCCC)=O[<].[+rn=30]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=80],CC(C)C(OCCCC)=O[<].[+rn=20]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=90],CC(C)C(OCCCC)=O[<].[+rn=10]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=10],CC(C)C(OCCCCCC)=O[<].[+rn=90]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=20],CC(C)C(OCCCCCC)=O[<].[+rn=80]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=30],CC(C)C(OCCCCCC)=O[<].[+rn=70]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=40],CC(C)C(OCCCCCC)=O[<].[+rn=60]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=50],CC(C)C(OCCCCCC)=O[<].[+rn=50]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=60],CC(C)C(OCCCCCC)=O[<].[+rn=40]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=70],CC(C)C(OCCCCCC)=O[<].[+rn=30]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=80],CC(C)C(OCCCCCC)=O[<].[+rn=20]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=90],CC(C)C(OCCCCCC)=O[<].[+rn=10]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=10],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=90]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=20],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=80]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=30],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=70]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=40],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=60]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=50],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=50]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=60],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=40]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=70],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=30]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=80],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=20]}"
"{[>]CC(C(OCC[NH3+])=O)C.FC(F)(C([O-])=O)F.[+rn=90],CC(C)C(OCC1=CC=CC=C1)=O[<].[+rn=10]}"
